| IP Address      |   Port | Service             | Country   | City   | Organization                                                                                             | ISP                                              | ASN      |   Latitude |   Longitude |
| 121.241.239.36  |     80 | Hikvision IP Camera | India     | Pune   | Internet Service Provider                                                                                | TATA Communications formerly VSNL is Leading ISP | AS4755   |    18.5196 |     73.8554 |
| 122.169.10.200  |     80 | Hikvision IP Camera | India     | Pune   | ABTS-MUMBAI                                                                                              | Bharti Airtel Ltd., Telemedia Services           | AS24560  |    18.5196 |     73.8554 |
| 123.63.148.180  |     80 | Hikvision IP Camera | India     | Pune   | Vodafone Idea Ltd                                                                                        | Vodafone Idea Ltd                                | AS55410  |    18.5196 |     73.8554 |
| 120.138.125.250 |     80 | Hikvision IP Camera | India     | Pune   | Syscon Infoway Pvt. Ltd.                                                                                 | Syscon Infoway Pvt. Ltd.                         | AS45194  |    18.5196 |     73.8554 |
| 61.246.169.12   |     80 | Hikvision IP Camera | India     | Pune   | Goa net                                                                                                  | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
| 116.75.13.235   |     81 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5196 |     73.8554 |
| 116.74.202.33   |     80 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5196 |     73.8554 |
| 103.97.164.81   |     92 | Hikvision IP Camera | India     | Pune   | Pearl Solutions                                                                                          | Paradise Telecom Pvt Ltd                         | AS136284 |    18.5196 |     73.8554 |
| 121.241.239.37  |     80 | Hikvision IP Camera | India     | Pune   | Internet Service Provider                                                                                | TATA Communications formerly VSNL is Leading ISP | AS4755   |    18.5196 |     73.8554 |
| 117.195.4.42    |    443 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5167 |     73.9167 |
| 117.195.6.123   |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 136.233.196.77  |   8080 | Hikvision IP Camera | India     | Pune   | Reliance Jio Infocomm Limited                                                                            | Reliance Jio Infocomm Limited                    | AS55836  |    18.5196 |     73.8554 |
| 116.74.186.137  |     80 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5148 |     73.8358 |
| 103.174.140.41  |     80 | Hikvision IP Camera | India     | Pune   | VORTEX INFOWAY PRIVATE LIMITED                                                                           | VORTEX INFOWAY PRIVATE LIMITED                   | AS134932 |    18.5196 |     73.8554 |
| 45.117.2.205    |     81 | Hikvision IP Camera | India     | Pune   | Intech Online Private Limited                                                                            | Adarsh Infosolutions                             | AS133674 |    18.5196 |     73.8554 |
| 103.97.164.98   |     84 | Hikvision IP Camera | India     | Pune   | Pearl Solutions                                                                                          | Paradise Telecom Pvt Ltd                         | AS136284 |    18.5196 |     73.8554 |
| 27.107.7.184    |     80 | Hikvision IP Camera | India     | Pune   | Tata Teleservices Limited -GSM Division                                                                  | Tata Teleservices Maharashtra Ltd                | AS17762  |    18.5196 |     73.8554 |
| 117.217.120.93  |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5459 |     73.8855 |
| 117.195.8.108   |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 113.193.241.153 |     80 | Hikvision IP Camera | India     | Pune   | Tikona Infinet Ltd.                                                                                      | Tikona Infinet Ltd.                              | AS45528  |    18.5333 |     73.8667 |
| 182.70.119.154  |     80 | Hikvision IP Camera | India     | Pune   | Bharti Airtel Services Limited, 6th floor , Interface Building No 7, Link Road, Mumbai Maharastra-400064 | Bharti Airtel Ltd., Telemedia Services           | AS24560  |    18.5131 |     73.7825 |
| 182.66.83.218   |     80 | Hikvision IP Camera | India     | Pune   | MODI MOTORS AGENCIES PVT                                                                                 | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
| 117.248.111.167 |     81 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5333 |     73.8667 |
| 183.87.216.230  |     87 | Hikvision IP Camera | India     | Pune   | Ishan Netsol Pvt Ltd                                                                                     | Ishan's Network                                  | AS45117  |    18.5196 |     73.8554 |
| 45.113.248.36   |     85 | Hikvision IP Camera | India     | Pune   | Intermedia Cable Communication Pvt Ltd                                                                   | Intermedia Cable Communication Pvt Ltd           | AS134055 |    18.5196 |     73.8554 |
| 117.195.70.151  |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 122.170.111.41  |     80 | Hikvision IP Camera | India     | Pune   | ABTS-MUMBAI                                                                                              | Bharti Airtel Ltd., Telemedia Services           | AS24560  |    18.5196 |     73.8554 |
| 124.66.168.194  |     80 | Hikvision IP Camera | India     | Pune   | Deep Communications                                                                                      | Hi5 Multimedia Services Pvt Ltd                  | AS138272 |    18.5196 |     73.8554 |
